Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
Temple Mall North,黃大仙中心北館,"136 Lung Cheung Road, Wong Tai Sin, Kowloon",KLN - Wong Tai Sin,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/281,
Temple Mall South,黃大仙中心南館,"103 Ching Tak Street, Wong Tai Sin, Kowloon",KLN - Wong Tai Sin,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/280,
Temple Street 179-183,,Temple Street 179-183,KLN - Yau Tsim Mong,Mixed Use,Red City Limited,,NB V2.0,Registered,2024,Valid,,,
Tencent Shenzhen Headquarters,腾讯深圳总部项目,"Xinan Jiedao, Bao’an, Shenzhen",PRC,Commercial,腾讯科技（深圳）有限公司,陈益明,NB V2.0,Registered,2024,Valid,,,
Terra,隆敍,"No. 296 Prince Edward Road West, Kowloon – K.I.L. 2097 R.P.",KLN - Yau Tsim Mong,Residential,Top Gear Investment Limited,Ms Rena Xu / Ms Alice Chan,NB V1.2,Final Unclassified,2023,Valid,PAU0084/23; FAU0023/24,,
Terrace Concerto,翠鳴臺,"3 Ming Kum Road, Tuen Mun",NT - Tuen Mun,Residential,Hong Kong Housing Society,"CHAN Chi Keung, Peter",NB V1.2,Final Gold,2021,Valid,FAG0014/21; PAG0034/17,,
The Addition,家壹,"350 Un Chau Street, Cheung Sha Wan, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,"Glory On Investment Limited, Ohtori Investment Limited",Lai Shing Leong,NB V1.2,Final Bronze,2022,Valid,PAB0031/19; REG0002/19,,
The Affiliated School of the University of Macau (ASUM) Extension Project,澳門大學附附屬應用學校擴建工程,"Rua de Tai Lin,S/N, BT-34, Taipa, Macau",PRC,Government Institutional and Community,Associação da Escola Anexa à Universidade de Macau,"MAK Kei Choi, Henry",NB V2.0,Registered,2020,Valid,,,
THE AMUSED,喜遇,No. 538 Fuk Wing Street,KLN - Sham Shui Po,Residential,Wealthy Wide Limited,"CHAN Chi Keung, Peter",NB V1.2,Final Gold,2020,Valid,PAG0029/17,https://greenbuilding.hkgbc.org.hk/projects/view/240,
The Aperture,皓日,"11, Ngau Tau Kok Road, Kowloon",KLN - Kwun Tong,Residential,Hang Lung Project Management Limited,POON Ka Man,NB V1.2,Provisional Gold,2021,Valid,PAG0092/21,,
The Arcana,嵐玥,"38 Cheung Sha, Lantau Island",NT - Islands,Residential,Golden United Development Limited,JIANG Wei,NB V1.2,Final Unclassified,2024,Valid,PAU0074/22,,
THE ARDEN,N/A,"Tai Po Town Lot No.230, Tai Po Road, Tak Po Kau, Tai Po, New Territories, Hong Kong",NT - Tai Po,Residential,Obtain Holdings Limited,"WONG Man Sze, Wency",NB V1.2,Provisional Unclassified,2019,Valid,PAU0099/24,,
The Arles,星凱‧堤岸,"1-11 Au Pui Wan Street, Fo Tan, Sha Tin, N.T., Hong Kong",NT - Sha Tin,Mixed Use,Centralcon (Fo Tan) Company Limited,Wong Man Sze,NB V1.2,Provisional Unclassified,2019,Expired,PAU0058/20,,
The Ascent,尚都,"No. 83 Shun Ning Road, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Urban Renewal Authority / Star Yield Investments Limited,LEUNG Chi Fung,NB V1.2,Final Gold,2020,Valid,PAG0017/15,https://greenbuilding.hkgbc.org.hk/projects/view/235,
The Astro,悅雅,310 Un Chau Street,KLN - Sham Shui Po,Mixed Use,Smart Team Properties Limited,HUNG Chung Yin,NB V1.2,Final Unclassified,2021,Valid,PAU0024/17,,
THE AURORA,映日灣,"TWTL 393, Tsuen Wan, the New Territories, Hong Kong",NT - Tsuen Wan,Mixed Use,Vincord Limited,"HO KA PO, Nicole",NB V1.2,Final Unclassified,2021,Valid,PAU0038/19,,
The Austin and Grand Austin,,No. 8 Wui Cheung Road and No.9 Austin Road West,KLN - Yau Tsim Mong,Residential,MTR Corporation Limited,YAM Chi Wai,NB V1.1,Final Gold,2017,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/99,
The Bauhinia Hotels & Apartments Central,中環寶軒酒店及公寓,"No.119-120, Connaught Road Central & No. 237-239, Des Voeux Road Cental, Hong Kong",HK - Central & Western,Hotel Space,Honour Well Development Limited,MAK Kei Choi (Henry),BI V2.0,Registered,2024,Valid,,,
The BEACON,碧薈,"No. 88 Sai Yee Street, Mongkok, Kowloon",KLN - Yau Tsim Mong,Mixed Use,Good Standing (Hong Kong) Limited,CHOW Ka Ming,NB V1.1,Provisional Gold,2014,Expired,,,
The Bloomsway,滿名山,"No. 18, 28, 29 Tsing Ying Road",NT - Tuen Mun,Residential,Senworld Investment Limited,CHOI Lok Tin,NB V1.1,Final Silver,2019,Expired,FAS0007/19; PAS0007/15,,
The Building Information Centre at the New Headquarters of the Buildings Department,屋宇署總部樓宇資訊中心,"2/F, Buildings Department Headquarters, North Tower, West Kowloon Government Offices, 11 Hoi Ting Road, Yau Ma Tei, Kowloon",KLN - Yau Tsim Mong,Others,Buildings Department,MAK Kei Choi (Henry),BI V1.0,Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/246,
The Campton,N/A,201 Fuk Wing Street,KLN - Sham Shui Po,Residential,Vanke Property (Hong Kong) Company Ltd.,"CHAN Chi Keung, Peter",NB V1.2,Final Gold,2022,Valid,FAG0018/22; PAG0060/19,,
The Carmel,,168 Castle Peak Road – Tai Lam,NT - Tuen Mun,Residential,Green Lotus Limited,HO Ching Yin,NB V1.2,Final Silver,2021,Valid,FAS0010/21; PAS0024/18,,
THE CAVARIDGE,駿景薈,"The Cavaridge, 38 Lai Ping Road, Sha Tin, N.T.",NT - Sha Tin,Residential,Golden Concept Development Limited,Wing Hung HO,NB V1.2,Final Unclassified,2021,Valid,PAU0047/19,,
The Center,中環中心,"99 Queen's Road Central, Hong Kong",HK - Central & Western,Commercial,Savills Property Management Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
The Chinese Medicine Hospital of Hong Kong,香港中醫醫院,"Pak Shing Kok Road, Tsang Kwan O, Hong Kong",NT - Sai Kung,Government Institutional and Community,Architectural Services Department,Wong Man Sze,NB V2.0,Provisional Platinum,2023,Valid,,,
The Church of Christ in  China Mongkok Church Kai Oi School,中華基督教會望覺堂啟愛學校,"110 Sham Mong Road, Kowloon",KLN - Sham Shui Po,Government Institutional and Community,"Architectural Services Department, HKSAR Government",Mr Hoi Fo Cheung,NB V1.2,Final Gold,2022,Valid,,,
The Cloud,N/A,"Nos. 107-111 Tung Chau Street and Maple Street, Kowloon",KLN - Yau Tsim Mong,Industrial,Star Properties (H.K.) Limited,"Ms. Kwok May Han, Grace",NB V1.2,Final Unclassified,2023,Valid,,,
The Concerto,弦雅,"Nos. 201-203A Yee Kuk Street, Sham Shui Po, Kowloon",KLN - Sham Shui Po,Mixed Use,Cloud Peak Creation Limited,Tam Yuen Kwong,NB V1.2,Final Unclassified,2022,Valid,,,
The Consonance,維峯。浚匯,"No. 23 Jupiter Street, North Point, Hong Kong",HK - Eastern,Mixed Use,Longmax Development Limited,Dimitri LO,NB V1.2,Final Silver,2023,Valid,PAB0035/20,,
The Corniche,凱玥,"Ap Lei Chau Inland Lot 136, Lee Nam Road, Ap Lei Chau, Hong Kong",HK - Southern,Residential,Unicorn Bay (Hong Kong) Investments Limited,"CHAN Chi Keung, Peter",NB V1.2,Provisional Gold,2018,Expired,PAG0104/22,,
"The Development of 4 Liberty Avenue, Ho Man Tin, Kowloon",,"4 Liberty Avenue, Ho Man Tin, Kowloon",KLN - Kowloon City,Mixed Use,Rise Country Limited,"MAK Kei Choi, Henry",NB V2.0,Registered,2024,Valid,,,
The Duet,雙玥,"Tuen Mun Town Lot No. 512, Area 59, Siu Lam, Tuen Mun, Hong Kong",NT - Tuen Mun,Residential,Treasure Mega Ltd.,Conn YUEN,NB V1.2,Final Unclassified,2020,Valid,FAU0017/23,,
The ELCHK Faith Lutheran School,基督教香港信義會深信學校,"8 Pui Tak Street, Shek Kip Mei, Kowloon",KLN - Sham Shui Po,Aided,The ELCHK Faith Lutheran School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
"The Elderly Home Development by Pok Oi Hospital in Lam Tei, Tuen Mun",博愛醫院屯門藍地長者護理及護養安老院舍,"Fuk Hang Tsuen Road, Lam Tei, Tuen Mun, Lot No.2878 in DD130",NT - Tuen Mun,Government Institutional and Community,Pok Oi Hospital,Mr Lam Lo,NB V1.2,Provisional Gold,2024,Valid,,,
The Emperor Hotel,英皇駿景酒店,"No. 373 Queen's Road East, Wanchai, Hong Kong",HK - Wan Chai,Hotel,Emperor Project Management (Hong Kong) Limited,"KWOK May Han, Grace",NB V1.1,Final Bronze,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/230,
The Endeavourers Leung Lee Sau Yu Memorial Primary School,勵志會梁李秀娛紀念小學,"25 Yiu Hing Road, Shau Kei Wan, Hong Kong",HK - Eastern,Aided,The Endeavourers Leung Lee Sau Yu Memorial Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
The Entrance,峻源,"1 Lok Wo Sha Lane, Ma On Shan, N.T., Hong Kong",NT - Sha Tin,Residential,Jumbo Vision Holdings Limited,JIANG Wei,NB V1.2,Final Unclassified,2021,Valid,PAU0049/19,,
THE ESPLANADE,弦海,"101 Yip Wong Road, Tuen Mun",NT - Tuen Mun,Mixed Use,China Cyberworld Limited,"CHAN Chi Keung, Peter",NB V1.2,Final Silver,2021,Valid,PAS0023/18,,
The Forest,,"17 Nelson Street, Mong Kok, KL",KLN - Yau Tsim Mong,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
"The Forum, Exchange Square Redevelopment",交易廣場- 富臨閣重建計劃,"8 Connaught Place, Central, Hong Kong",HK - Central & Western,Commercial,Mulberry Land Company Limited,"KWOK May Han, Grace",NB V1.1,Provisional Unclassified,2013,Expired,,,
The Fullerton Ocean Park Hotel Hong Kong,香港富麗敦海洋公園酒店,"3 Ocean Drive, Aberdeen, Hong Kong",HK - Southern,Hotel,Ocean Park Corporation /  Parkland (Hong Kong) Limited,"KWOK May Han, Grace",NB V1.2,Final Gold,2023,Valid,,,
The Garrison,珀玥,"28 Mei Tin Road, Shatin, N.T.",NT - Sha Tin,Mixed Use,Polyland Development Limited,Ms Wing Man Lui,NB V1.2,Final Unclassified,2021,Valid,,,
The Golden Gate (Shopping Arcade),富．盈門商場,"1 Plover Cove Road, Tai Po, New Territories",,Commercial,Sources Fame Management Limited,"Mr. MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
The Graces．Providence Bay,海鑽．天賦海灣,"9 Fo Chun Road, Pak Shek Kok",NT - Tai Po,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2021,Valid,,,
The Graces．Providence Bay (2024),海鑽．天賦海灣,"9 Fo Chun Road, Pak Shek Kok",NT - Tai Po,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,,
THE GRAND MARINE,明翹匯,"18 Sai Shan Road, Tsing Yi, New Territories",NT - Kwai Tsing,Residential,Dragon Mount Development Limited,JIANG Wei,NB V1.2,Final Unclassified,2023,Valid,PAU0042/19,,
The Grands,明 雋,"45 Pau Chung Street, Kowloon",KLN - Kowloon City,Mixed Use,Dormax Limited,POON Ka Man,NB V1.2,Final Unclassified,2024,Valid,PAU0076/22,,
The Green Atrium,,"The Green Atrium, Park Signature, 68 Kung Um Road, Lung Tin Tsuen, Yuen Long",NT - Yuen Long,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
The Haddon(Midtown South),To be updated,"1 Whampoa Street, Hung Hom, Kowloon, Hong Kong",KLN - Kowloon City,Residential,South Crown Development Limited,Sze-To Hiu Yue,NB V2.0,Registered,2015,Valid,REG0022/24,,
The Hang Seng University of Hong Kong -  Academic Building (Creative Humanities Hub),香港恒生大學 - 教學大樓（創意人文館）,"Hang Shin Link, Siu Lek Yuen, Shatin, New Territories, Hong Kong",NT - Sha Tin,Government Institutional and Community,Hang Seng School of Commerce,Ling Ho Yin,NB V2.0,Provisional Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1365,
The Harbour School,港灣學校改建工程,"The Harbour School – Grove, Ap Lei Chau Estate, 332 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong",HK - Southern,Government Institutional and Community,The Harbour School Foundation Limited,"KWOK May Han, Grace",NB V1.2,Provisional Bronze,2018,Expired,,,
The Harbourfront,海濱廣場,"No.18 to 22, Tak Fung Street, Hunghom",KLN - Kowloon City,Commercial,Hutchison Property Management Company Limited,Hip Shing Leung,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
The Hari Hong Kong,,"330 Lockhart Road, Wanchai Hong Kong",HK - Wan Chai,Hotel,Origin One Limited,JIANG Wei,NB V1.2,Final Silver,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/389,
THE HARMONIE,映築,"233 Castle Peak Road, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Urban Renewal Authority (Owner) / Avion Investment Limited (Developer),JIANG Wei,NB V1.2,Final Gold,2024,Valid,PAG0080/20,,
The Headland Residences,Nil,"99 Sheung On Street, Chai Wan",HK - Eastern,Residential,Joyful Sincere Limited,FUNG YEE WA,NB V2.0,Provisional Platinum,2024,Valid,REG0029/24; PAP0020/24,,
The Headland Residences,Nil,"Site A of 391 Chai Wan Road and Adjoining Government Land, Chai Wan",HK - Eastern,Residential,Joyful Sincere Limited,FUNG YEE WA,NB V2.0,Registered,2016,Valid,REG0030/24,,
The Hemispheres,維峯,No. 3 Gordon Road,HK - Eastern,Residential,Supreme Hero Limited,HO Ching Yin,NB V1.1,Provisional Silver,2013,Expired,,,
"The Henley I, II and III",Nil,"7 Muk Tai Street, Kai Tak, Kowloon, Hong Kong",KLN - Kwun Tong,Mixed Use,"Hongkong Island Construction Properties Co., Limited",HO Ching Yin,NB V1.2,Final Platinum,2023,Valid,"PAP0013/21; PAG0079/20, FAP0004/23",,
The Hennessy,,"256 Hennessy Road, Wan Chai, Hong Kong",HK - Wan Chai,Commercial,Wise Century Limited,Jason Tse,EB V2.0 Comp. A,Registered,2024,Valid,,,
The Highline,吉.喆,"No. 33-47 Catchick Street, Kennedy Town, Hong Kong",HK - Central & Western,Mixed Use,Shanghai Commercial Bank Limited,HO Ching Yin,NB V1.2,Provisional Gold,2018,Expired,PAG0093/21,,
The Hillside,曉寓,"9 Sik On Street, Wan Chai, Hong Kong",HK - Wan Chai,Residential,Joint Rise Development Ltd,Hui Pui Shan,NB V1.2,Final Unclassified,2020,Valid,,,
THE HOLBORN,N/A,"1 Shau Kei Wan Road, Hong Kong",HK - Eastern,Mixed Use,Central Profit Investments Limited,"KWOK May Han, Grace",NB V1.2,Final Silver,2024,Valid,PAS0035/21; FAS0029/24,,
The Hong Kong Award for Young People Jockey Club Duke of Edinburgh Training Camp,香港青年獎勵計劃賽馬會愛丁堡公爵訓練營,"No. 90, Hang Ha Po, Lam Tsuen, Tai Po, N.T.",NT - Tai Po,Mixed Use,The Hong Kong Award For Young People,JIANG Wei,NB V1.2,Final Silver,2021,Valid,,,
The Hong Kong Club Building,香港會所大廈,"1 Jackson Road, Central, Hong Kong",HK - Central & Western,Leisure & Entertainment Space,The Hong Kong Club,MAK Kei Choi,BI V2.0,Registered,2024,Valid,,,
The Hong Kong Federation of Youth Groups Tai Po Youth Hostel cum Youth S.P.O.T.,香港青年協會-大埔青年宿舍及青年空間,"2 Po Heung Street, Tai Po Market, New Territories, Hong Kong",NT - Tai Po,Mixed Use,The Hong Kong Federation of Youth Groups,Ms Kar Wai Ng,NB V1.2,Final Unclassified,2022,Valid,,,
The Hong Kong Jockey Club University of Chicago Academic Complex | The University of Chicago Francis and Rose Yuen Campus,香港賽馬會芝加哥大學教育綜合大樓 | 芝加哥大學袁天凡、慧敏校園,"168 Victoria Road, Mount Davis, Hong Kong",HK - Southern,Commercial,The University of Chicago Foundation in Hong Kong,DU Liping,NB V1.2,Final Silver,2020,Valid,,,
The Hong Kong Polytechnic University - Campus Expansion at Ho Man Tin Slope (Academic Building),N/A,"Ho Man Tin Slope at Chung Hau Street, Ho Man Tin, Kowloon, Hong Kong",KLN - Kowloon City,Government Institutional and Community,The Hong Kong Polytechnic University,Kaixin Xu,NB V2.0,Registered,2021,Valid,,,
The Hong Kong Polytechnic University Student Hostel at Ho Man Tin Slope,香港理工大學何文田斜坡學生宿舍,"Junction of Chung Hau Street and Oi Sen Path, Ho Man Tin, Kowloon",KLN - Kowloon City,Government Institutional and Community,The Hong Kong Polytechnic University,Kaixin Xu,NB V1.2,Provisional Platinum,2022,Valid,,,
The Hong Kong University of Science and Technology Jockey Club Hall,香港科技大學賽馬會大樓,"No.3 Tong Yin Lane, Tseung Kwan O, New Territories, Hong Kong",NT - Sai Kung,Government Institutional and Community,The Hong Kong University of Science & Technology,"Chan Ka Yee, Zoe",NB V1.1,Final Gold,2020,Valid,,,
The Hong Kong University of Science and Technology Shaw Auditorium,香港科技大學逸夫演藝中心,"Clear Water Bay, Kowloon, Hong Kong",NT - Sai Kung,Government Institutional and Community,The Hong Kong University of Science and Technology,JIANG Wei,NB V1.2,Final Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/217,
The Horizon,海日灣,18 Fo Chun Road,NT - Tai Po,Residential,Top Finder Limited,"HO KA PO, Nicole",NB V1.2,Final Unclassified,2020,Valid,PAU0035/18,,
The Hub,,"23 Yip Kan Street, Wong Chuk Hang",HK - Southern,Commercial,Hutchison Property Management Company Limited,Hip Shing Leung,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
The Hub,,"A.I.L. 399 Yip Kan Street, Wong Chuk Hang, Hong Kong",HK - Southern,Mixed Use,Valmet Limited,JIANG Wei,NB V1.2,Final Unclassified,2019,Expired,,,
The Hudson,浚峯,"No. 11 Davis Street, Western District, HK",HK - Central & Western,Residential,Main Capital Development Limited,"Ms. CHEN Yi Fang, Mr. Chan Kwok Leung",NB V1.1,Final Bronze,2020,Valid,,,
The Johnston,囍寓,"74-80 Johnston Road, Wan Chai, Hong Kong",HK - Wan Chai,Residential,HCP Hong Kong Fully Co Ltd,"Ir Tam Yuen Kwong, Nelson",EB V2.0 Comp. A,Registered,2024,Valid,,,
THE KNIGHTSBRIDGE,天瀧,22 Shing Fung Road,KLN - Kowloon City,Residential,Marble Edge Investments Limited,SZETO Chun Tak,NB V1.2,Provisional Gold,2022,Valid,PAG0131/22,,
The Latitude,譽港灣,"638 Prince Edward Road East, San Po Kong",KLN - Wong Tai Sin,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
The Lily by Nina Hospitality,,"129 Repulse Bay Road, Repulse Bay",HK - Southern,Hotel,Chinachem Agencies Ltd,"MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
The LOHAS,N/A,"1 LOHAS Park Road, Tseung Kwan O",NT - Sai Kung,Commercial,MTR Corporation Limited,Wong Man Sze,NB V1.2,Final Unclassified,2021,Valid,,,
The Luna,楹寓,"18 Lun Fat Street, Wan Chai, Hong Kong",HK - Wan Chai,Residential,Kong Fortune Investment Limited and Champ Shine Limited,CHOI Lok Tin,NB V1.2,Final Gold,2019,Expired,,,
The MARK,,"No. 164 Wai Yip Street, Kwun Tong, Kowloon",KLN - Kwun Tong,Commercial,Worldmax Enterprises Limited,Cheung Wai Hin,NB V1.1,Final Bronze,2015,Expired,,,
The Mediterranean,逸瓏園,8 Tai Mong Tsai Road,NT - Sai Kung,Residential,Asian View Development Limited,Hui Pui Shan,NB V1.2,Final Silver,2019,Expired,FAS0004/19; PAB0015/16,,
The Met Acappella,薈蕎,"7838 Tai Po Road – Tai Wai, Shatin, New Territories",NT - Sha Tin,Residential,Ever World Limited,"CHAN Chi Keung, Peter",NB V1.2,Final Unclassified,2020,Valid,PAU0013/17,,
The Met. Bliss,薈晴,"The Met. Bliss, No.15 Hang Kwong Street, Ma On Shan, New Territories, Hong Kong",NT - Sha Tin,Residential,New Rich Investments Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Unclassified,2019,Expired,PAU0008/16,,
The Met. Blossom,薈朗,"The Met. Blossom, No.9 Ma Kam Street, Ma On Shan, New Territories, Hong Kong",NT - Sha Tin,Residential,Grandwall Investment Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Unclassified,2019,Expired,PAU0006/16,,
The Met. Delight,薈悅,"25A Shun Ning Road, Hong Kong",KLN - Sham Shui Po,Residential,Rich System Investments Limited,CHAN Ka Yee,NB V1.1,Final Unclassified,2016,Expired,PAU0001/13; REG0001/13,,
The Met. Azure,薈藍,Tsing Yi Town Lot No.192,NT - Kwai Tsing,Residential,Newex Limited,JIANG Wei,NB V1.2,Provisional Unclassified,2019,Valid,PAU0055/20,,
The Metropolis Tower,都會大廈,"10 Metropolis Drive, Hung Hom, Kowloon",KLN - Kowloon City,Commercial,ARA Asset Management (Prosperity) Limited,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
The Metropolis Tower,都會大廈,"10 Metropolis Drive, Hung Hom, Kowloon, Hong Kong",KLN - Kowloon City,Commercial,Prosperity Real Estate Investment Trust,Ir TAM Yuen Kwong,EB V2.0 Comp. B,Final Platinum,2023,Valid,,,
The Millennity,,"98 How Ming Street, Kwun Tong, Kowloon",KLN - Kwun Tong,Mixed Use,"Turbo Result Ltd., KT Real Estate Ltd.",Ir. Cheung Siu Ming,NB V2.0,Final Platinum,2024,Valid,,,
The Mills,南豐紗廠,"45 Pak Tin Par Street, Tsuen Wan, N.T, Hong Kong",NT - Tsuen Wan,Commercial,Nan Fung Textiles Second Mill Limited,Ms. Tan Yan Tyng (Teri),EB V2.0 Comp. A,Final Platinum,2021,Valid,,,
The Mod,觀塘偉業街207號,"No. 207 Wai Yip Street, Kwun Tong, Hong Kong",KLN - Kwun Tong,Industrial,Howford Investments Limited,JIANG Wei,NB V1.2,Final Unclassified,2022,Valid,,,
The Morgan,敦皓,"31 Conduit Road, Hong Kong",HK - Central & Western,Residential,Grand Whole Limited,"KWOK May Han, Grace",NB V1.1,Final Gold,2017,Expired,FAG0001/18,,
THE MURRAY HONG KONG,香港美利酒店,"22 Cotton Tree Drive, Central, Hong Kong SAR, China",HK - Central & Western,Hotel,The Murray Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Unclassified,2020,Valid,,,
The New Academic Building in Tai Po Campus of The Education University of Hong Kong,香港教育大學大埔校園新教學大樓,"10 Lo Ping Road, Tai Po, New Territories, Hong Kong",NT - Tai Po,Government Institutional and Community,The Education University of Hong Kong,Wong Man Sze,NB V1.2,Provisional Gold,2022,Valid,,,
The Olympian Hong Kong,香港遨凱酒店,"18 Hoi Fai Road West Kowloon, Hong Kong",KLN - Yau Tsim Mong,Hotel,Sino Estates Management Limited,Jason Tse,EB V2.0 Comp. A,Registered,2024,Valid,,,
The Open University of Hong Kong  - The Jockey Club Campus Jubilee College,香港公開大學賽馬會校園銀禧學院,"81 Chung Hau Street, Homantin, Kowloon",KLN - Kowloon City,Government Institutional and Community,The Open University of Hong Kong,LEUNG Chi Fung,NB V1.1,Final Platinum,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/42,
The Papillons,海翩滙,"21 Tong Chun Street, Tseung Kwan O",NT - Sai Kung,Residential,Cloud Fair Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Silver,2019,Expired,PAB0011/16,,
The Parcville,采葉庭,"No.33 Kau Hui Road, Yuen Long, N.T.",NT - Yuen Long,Residential,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
THE PARKHILL,柏𣾷,138 Tong Yan San Tsuen Road,NT - Yuen Long,Residential,Realray Investments Limited,"CHEUNG Wai Hin, Andy",NB V1.1,Final Bronze,2017,Expired,FAB0001/17; PAB0006/15,,
The Parkside,,"No. 18 Tong Chun Street, Tseung Kwan O, Hong Kong",NT - Sai Kung,Residential,Fortune Precision Limited,Cheung Wai Hin,NB V1.1,Final Gold,2018,Expired,PAG0008/14,,
The Paseo,匯萃,,KLN - Yau Tsim Mong,Residential,Keen Access Holdings Ltd,"CHAN Chi Keung, Peter",NB V1.2,Registered,2013,Valid,,,
THE PAVILIA BAY,柏傲灣,"51 Wing Shun Street, Tsuen Wan, N.T.",NT - Tsuen Wan,Residential,Tsuen Wan West TW6 Property Development Limited,"Chan Ka Yee, Zoe",NB V1.2,Final Gold,2019,Expired,FAG0005/19; PAG0019/15,,
The Pavilia Farm,柏傲莊,"Sha Tin Town Lot No. 520, Shatin, Hong Kong",NT - Sha Tin,Residential,Lucrative Venture Limited,"Chan Ka Yan, Kennis",NB V1.2,Provisional Gold,2017,Valid,PAG0066/19,,
"The Pavilia Forest I, The Pavilia Forest II, The Pavilia Forest III","柏蔚森 I, 柏蔚森 II, 柏蔚森 III","NKIL no. 6591, Kai Tak, Kowloon, Hong Kong",KLN - Kwun Tong,Residential,Rich Fast International Limited,Grace Kwok May Han,NB V1.2,Provisional Gold,2021,Valid,PAG0101/22,,
The Pavilia Hill,柏傲山,"18A Tin Hau Temple Road, Hong Kong",HK - Wan Chai,Residential,"Silver Rich Holdings Limited, Fook Hang Trading Company Limited",Leong Lai Shing,NB V1.1,Final Silver,2018,Expired,FAS0003/18,,
The Peak Galleria,山頂廣場,"118 Peak Road, Hong Kong",HK - Central & Western,Commercial,Hang Lung Project Management Ltd.,CHAN Wai Tung,EB V1.1,Final Gold,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/46,
THE POTTINGER HONG KONG,,"74 Queen's Road Central (Hotel main entrance:, 21 Stanley St, Central)",HK - Central & Western,Hotel,Sino Estates Management Limited,Jason Tse,EB V2.0 Comp. A,Registered,2024,Valid,,,
"The Proposed Composite Development at 19-27 Peel Street, 27-33 Gage Street and 16-18 Staveley Street, Hong Kong - I.L.9064",,"19-27 Peel Street, 27-33 Gage Street and 16-18 Staveley Street, Hong Kong",HK - Central & Western,Mixed Use,Urban Renewal Authority,"KWOK May Han, Grace",NB V1.2,Provisional Gold,2019,Valid,PAG0088/21,,
"The Proposed Hotel Development Building Works at Nos. 88-90 Wing Lok St., Sheung Wan, Hong Kong (Lot No.: I.L. 1826 & I.L. 1827)",,"88-90 Wing Lok St., Sheung Wan, Hong Kong",HK - Central & Western,Hotel,"Leighton Textiles Co., Limited",,NB V2.0,Registered,2012,Valid,,,
"The Proposed Industrial Development at No.3 Luk Hop Street, San Po Kong, Hong Kong",N/A,"No.3 Luk Hop Street, San Po Kong, Hong Kong",KLN - Wong Tai Sin,Industrial,Grand Challenge Development Ltd,"Mr. Lai Ka Yeung, Andy",NB V2.0,Pre-requisites_Achieved,2023,Valid,,,
"The Proposed Recreation & Sport Centre Development at Site C, Shap Sz Heung, Sai Kung, N.T.",,"Site C, Sai Sha, Tai Po, N.T.",NT - Sai Kung,Others,Light Time Investment Limited,Kaixin Xu,NB V1.2,Provisional Platinum,2024,Valid,,,
"The Proposed Welfare Centre and Public Vehicle Park Development at Site C, Shap Sz Heung, Tai Po, N.T.",N/A,"Site C, Shap Sz Heung, Tai Po, N.T., Hong Kong",NT - Sai Kung,Government Institutional and Community,Light Time Investment Limited,Kaixin Xu,NB V1.2,Registered,2020,Valid,,,
